# time disp shear stiffness
6.3963963964e+00 1.1627706004e-02 1.6555748715e+05 5.0000000000e+07
6.4064064064e+00 1.0661916721e-02 1.1726802299e+05 5.0000000000e+07
6.4164164164e+00 9.6508246351e-03 6.6713418705e+04 5.0000000000e+07
6.4264264264e+00 8.5983026393e-03 1.4087318917e+04 5.0000000000e+07
6.4364364364e+00 7.5084003749e-03 -4.0407794305e+04 5.0000000000e+07
6.4464464464e+00 6.3853286624e-03 -9.6561379930e+04 5.0000000000e+07
6.4564564565e+00 5.2334432423e-03 -1.5415565093e+05 5.0000000000e+07
6.4664664665e+00 4.0572278882e-03 -2.1296641864e+05 5.0000000000e+07
6.4764764765e+00 2.8612769576e-03 -2.7276396517e+05 5.0000000000e+07
6.4864864865e+00 1.6502774493e-03 -3.3331394059e+05 5.0000000000e+07
6.4964964965e+00 4.2899063568e-04 -3.9437828127e+05 5.0000000000e+07
6.5065065065e+00 -7.9776665575e-04 -4.5571614584e+05 5.0000000000e+07
6.5165165165e+00 -2.0251410407e-03 -4.8006285260e+05 2.5000000000e+06
6.5265265265e+00 -3.2482617791e-03 -4.8312065445e+05 2.5000000000e+06
6.5365365365e+00 -4.4622601040e-03 -4.8615565026e+05 2.5000000000e+06
6.5465465465e+00 -5.6622886017e-03 -4.8915572150e+05 2.5000000000e+06
6.5565565566e+00 -6.8435405650e-03 -4.9210885141e+05 2.5000000000e+06
6.5665665666e+00 -8.0012692434e-03 -4.9500317311e+05 2.5000000000e+06
6.5765765766e+00 -9.1308069126e-03 -4.9782701728e+05 2.5000000000e+06
6.5865865866e+00 -1.0227583687e-02 -5.0056895922e+05 2.5000000000e+06
6.5965965966e+00 -1.1287146000e-02 -5.0321786500e+05 2.5000000000e+06
6.6066066066e+00 -1.2305174673e-02 -5.0576293668e+05 2.5000000000e+06
6.6166166166e+00 -1.3277502509e-02 -5.0819375627e+05 2.5000000000e+06
6.6266266266e+00 -1.4200131331e-02 -5.1050032833e+05 2.5000000000e+06
6.6366366366e+00 -1.5069248396e-02 -5.1267312099e+05 2.5000000000e+06
6.6466466466e+00 -1.5881242123e-02 -5.1470310531e+05 2.5000000000e+06
6.6566566567e+00 -1.6632717068e-02 -5.1658179267e+05 2.5000000000e+06
6.6666666667e+00 -1.7320508076e-02 -5.1830127019e+05 2.5000000000e+06
6.6766766767e+00 -1.7941693565e-02 -5.1985423391e+05 2.5000000000e+06
6.6866866867e+00 -1.8493607877e-02 -5.2123401969e+05 2.5000000000e+06
6.6966966967e+00 -1.8973852649e-02 -5.2243463162e+05 2.5000000000e+06
6.7067067067e+00 -1.9380307144e-02 -5.2345076786e+05 2.5000000000e+06
6.7167167167e+00 -1.9711137522e-02 -5.2427784380e+05 2.5000000000e+06
6.7267267267e+00 -1.9964804980e-02 -5.2491201245e+05 2.5000000000e+06
6.7367367367e+00 -2.0140072756e-02 -5.2535018189e+05 2.5000000000e+06
6.7467467467e+00 -2.0236011938e-02 -5.2559002984e+05 2.5000000000e+06
6.7567567568e+00 -2.0252006072e-02 -5.2563001518e+05 2.5000000000e+06
6.7667667668e+00 -2.0187754537e-02 -5.2241743846e+05 5.0000000000e+07
6.7767767768e+00 -2.0043274675e-02 -5.1519344534e+05 5.0000000000e+07
6.7867867868e+00 -1.9818902653e-02 -5.0397484425e+05 5.0000000000e+07
6.7967967968e+00 -1.9515293070e-02 -4.8879436508e+05 5.0000000000e+07
6.8068068068e+00 -1.9133417282e-02 -4.6970057571e+05 5.0000000000e+07
6.8168168168e+00 -1.8674560475e-02 -4.4675773532e+05 5.0000000000e+07
6.8268268268e+00 -1.8140317463e-02 -4.2004558476e+05 5.0000000000e+07
6.8368368368e+00 -1.7532587260e-02 -3.8965907460e+05 5.0000000000e+07
6.8468468468e+00 -1.6853566408e-02 -3.5570803197e+05 5.0000000000e+07
6.8568568569e+00 -1.6105741110e-02 -3.1831676708e+05 5.0000000000e+07
6.8668668669e+00 -1.5291878187e-02 -2.7762362096e+05 5.0000000000e+07
6.8768768769e+00 -1.4415014890e-02 -2.3378045609e+05 5.0000000000e+07
