time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.47,0.08879667325831908,0.0004051508429843531,2.708961507242443e-05,6.9575010624667775e-06,4.598542325228335e-07,0.00028092574966166257,1665.5738742183926
1.48,0.08963833966174084,0.0003854503523499747,2.5821366455381745e-05,6.031264979347098e-06,-4.504003353920751e-07,0.0002724023203923623,1614.4332986025915
1.49,0.1028018038804405,0.00035666892583023375,2.4044524976381677e-05,5.275088580267232e-06,-1.296484782313918e-06,0.0002557856622426278,1514.733349704184
1.5,0.21656708739520222,0.0003153475796550674,2.1522736888882387e-05,4.649277474434661e-06,-2.048385087154752e-06,0.00022850251426088312,1351.0344618137162
1.51,0.18809446743449942,0.0002562516077670391,1.7899858722650722e-05,4.0904362824778e-06,-2.669354351934052e-06,0.000186696221415539,1100.1967047416517
1.52,-0.02783027602807665,0.00018342390319552406,1.3378314732037595e-05,3.5172622867118177e-06,-3.1207484377274297e-06,0.00013383452030384492,783.0264980714871
1.53,-0.11612269318490534,0.00011061433757857281,8.756895564415138e-06,2.8514159695126618e-06,-3.3726443566568695e-06,8.096593574039746e-05,465.81499069080246
1.54,-0.12027152595700054,4.773138219347066e-05,4.615625734823937e-06,2.039056306716202e-06,-3.4138781522274254e-06,3.606448819194489e-05,196.4063054000869
1.55,-0.16634451841977246,-1.7013691300008832e-06,1.1655632394980756e-06,1.0603226247884222e-06,-3.2560941526377633e-06,2.0073807080636744e-06,-7.93632102637935
1.56,-0.1032631709428169,-3.692129637716715e-05,-1.5300906772343382e-06,-7.014208118377721e-08,-2.932948868579248e-06,-2.0601842519976638e-05,-143.58866100351946
1.57,0.05776632950259349,-6.403471285901561e-05,-3.8117907495843107e-06,-1.3117199013337337e-06,-2.4946713292633824e-06,-3.660925773036247e-05,-239.62726115218499
1.58,0.017411288859686253,-9.173386890962002e-05,-6.171586337515894e-06,-2.6141182362084884e-06,-1.998990589910204e-06,-5.290896632053551e-05,-337.4136386298311
1.59,-0.1591208142480778,-0.00011768193937284003,-8.427335876572173e-06,-3.925392344770568e-06,-1.5051419319777794e-06,-6.779360682088615e-05,-426.7041489291254
1.6,-0.11275230886840494,-0.00013327913450454187,-1.0011912147401588e-05,-5.186776766642083e-06,-1.0729398215434193e-06,-7.470127105642835e-05,-468.1404204709798
1.61,0.07089211086611787,-0.0001410963005487146,-1.1038944787511402e-05,-6.334485359194333e-06,-7.590927794187163e-07,-7.581921801466658e-05,-474.8464349478091
1.62,0.15940616271062225,-0.0001537331652089471,-1.2243351737728646e-05,-7.318093777033636e-06,-6.074802799409033e-07,-8.112503234801564e-05,-506.67256834373313
1.6300000000000001,0.22772071670004612,-0.00018191701786582083,-1.4265861342443547e-05,-8.120577194635981e-06,-6.39898903230565e-07,-9.902220308070449e-05,-614.0125081824926
1.6400000000000001,0.19878672967696692,-0.00023051839079506268,-1.7414478287111396e-05,-8.76750229993503e-06,-8.525683230116496e-07,-0.0001331940147188536,-818.8974220411834
1.6500000000000001,0.0945138069635648,-0.00029713488231275606,-2.1575316959211284e-05,-9.323145382803305e-06,-1.2192296189557456e-06,-0.00018151119125326285,-1108.4229506337183
1.6600000000000001,-0.014675786278833217,-0.00037304043528108493,-2.6261770258587905e-05,-9.874862521844987e-06,-1.6998690349175246e-06,-0.00023682902874582344,-1439.601515717171
1.67,-0.13331623959919386,-0.0004471573473302107,-3.084567927827858e-05,-1.0511467600478166e-05,-2.252112868197408e-06,-0.0002901640122411758,-1758.5638629632167
1.68,-0.05191482666902534,-0.0005128327166510688,-3.496151013449186e-05,-1.130547499434871e-05,-2.8407642534008645e-06,-0.0003360448188749997,-2032.6450272331444
1.69,0.09679064473941915,-0.0005748700173734002,-3.893188335030069e-05,-1.2309962563453406e-05,-3.440964554265315e-06,-0.00037801189968853036,-2283.0586495170273
1.7,0.054768559207990855,-0.0006416652780330902,-4.3289834611490655e-05,-1.3566964490190947e-05,-4.036293397806377e-06,-0.00042245014503493344,-2547.856717791586
