time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
2.02,-0.0010510210422267701,-2077.0947881739967,-0.0011362297924208224,-2240.9383551859237,-0.0010510210422267697,-2077.0947881739958
2.0300000000000002,-0.0010241666219263535,-2023.3859475731635,-0.0011090865141837078,-2186.6517987116945,-0.001024166621926351,-2023.3859475731588
2.04,-0.0009937930420011222,-1962.638787722701,-0.0010780172412386253,-2124.5132528215295,-0.0009937930420011157,-1962.638787722688
2.05,-0.000975702113988377,-1926.4569316972104,-0.0010592829101019093,-2087.044590548098,-0.0009757021139883727,-1926.456931697202
2.06,-0.0009740317696626363,-1923.116243045729,-0.0010571591358219882,-2082.7970419882554,-0.0009740317696626366,-1923.1162430457296
2.07,-0.0009804886334899793,-1935.570991322324,-0.0010631346125944553,-2094.250849067392,-0.000980488633489979,-1935.5709913223238
2.08,-0.0009813691920965081,-1937.269405193482,-0.001063128306062287,-2094.2382360030556,-0.0009813691920965081,-1937.2694051934823
2.09,-0.000971520907412714,-1917.5728358258937,-0.0010518774698339568,-2071.7365635463952,-0.0009715209074127151,-1917.572835825896
2.1,-0.0009557050761470167,-1885.941173294499,-0.001034334773738476,-2036.651171355434,-0.0009557050761470189,-1885.9411732945036
2.11,-0.0009394615237919693,-1853.4540685844042,-0.0010162491402436389,-2000.4799043657595,-0.0009394615237919697,-1853.4540685844054
2.12,-0.0009243494611493204,-1823.2299432991065,-0.0009992677780359491,-1966.5171799503798,-0.0009243494611493231,-1823.2299432991122
2.13,-0.0009109979690074716,-1796.526959015409,-0.0009840781409899205,-1936.1379058583225,-0.0009109979690074762,-1796.5269590154182
2.14,-0.0009052305107766823,-1784.9920425538303,-0.0009767265610765607,-1921.434746031603,-0.0009052305107766822,-1784.9920425538303
2.15,-0.0009160270648807169,-1805.9171568141212,-0.000986523128603641,-1940.3283503492505,-0.0009160270648807154,-1805.9171568141185
2.16,-0.000949564029085595,-1870.7645875572507,-0.0010199109083439911,-2004.559573458008,-0.0009495640290855949,-1870.7645875572505
