time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.9500000000000001,0.00046148511680279815,920.226505760297,0.0004600410495157985,0.0004896867680159838,976.0980358443526,0.000487962820548818,0.00046148511680279815,920.226505760297,0.0004600410495157985
0.96,0.0004732331965675194,943.5240174564798,0.0004716845777893305,0.0005029377230979234,1002.3470883495751,0.0005010806926525173,0.00047323319656751936,943.5240174564797,0.0004716845777893304
0.97,0.00048628932122434513,969.4032286044463,0.0004846180507800062,0.0005174574926862352,1031.093443755836,0.0005154461549932698,0.00048628932122434513,969.4032286044463,0.0004846180507800062
0.98,0.0005033473393114435,1003.1932091038533,0.0005015044606172152,0.0005360250187869277,1067.8264014746262,0.0005338020524189123,0.0005033473393114435,1003.1932091038533,0.0005015044606172152
0.99,0.0005205574765407083,1037.2618058294593,0.000518529504302836,0.0005546840958924387,1104.7120923677412,0.0005522335172518407,0.0005205574765407083,1037.2618058294593,0.000518529504302836
1.0,0.0005296656168943478,1055.2854458888298,0.0005275362548417869,0.0005649365380098032,1124.970563385298,0.0005623562682022724,0.0005296656168943479,1055.28544588883,0.000527536254841787
1.01,0.0005281633877376968,1052.280987575528,0.000526034025685136,0.0005641998082878691,1123.4971039414297,0.0005616195384803383,0.0005281633877376968,1052.280987575528,0.000526034025685136
1.02,0.0005200124361056917,1035.9790843115177,0.0005178830740531308,0.0005565584727991975,1108.2144329640867,0.0005539782029916668,0.0005200124361056916,1035.9790843115175,0.0005178830740531306
1.03,0.0005139173633277754,1023.7889387556852,0.0005117880012752145,0.0005509933171217872,1097.084121609266,0.0005484130473142564,0.0005139173633277755,1023.7889387556853,0.0005117880012752146
1.04,0.000518267828221066,1032.401803467067,0.0005160921161289266,0.0005561756163528638,1107.3280439672076,0.0005535318328062743,0.000518267828221066,1032.401803467067,0.0005160921161289266
1.05,0.0005307603127356106,1057.1216405298323,0.0005284450575033007,0.0005697635548343978,1134.171988924033,0.0005669450702318912,0.0005307603127356106,1057.1216405298323,0.0005284450575033007
1.06,0.0005405059767518823,1076.3985238875964,0.0005380778559012675,0.0005805584297879053,1155.4880359315107,0.0005775958910277475,0.0005405059767518823,1076.3985238875964,0.0005380778559012675
1.07,0.0005392516287612972,1073.8898279064263,0.0005368235079106824,0.0005800592594619107,1154.4896952795218,0.000577096720701753,0.0005392516287612971,1073.889827906426,0.0005368235079106823
1.08,0.0005272641506443995,1049.9148716726309,0.0005248360297937847,0.0005685293185774515,1131.4298135106035,0.0005655667798172938,0.0005272641506443994,1049.9148716726304,0.0005248360297937844
1.09,0.0005116839721679142,1018.7545147196602,0.0005092558513172993,0.0005533069939398394,1100.9851642353792,0.0005503444551796817,0.0005116839721679142,1018.7545147196602,0.0005092558513172993
1.1,0.0004978631397488385,991.1128498815086,0.0004954350188982236,0.0005398818371067534,1074.134850569207,0.0005369192983465955,0.0004978631397488386,991.112849881509,0.0004954350188982238
1.11,0.00048383933693066204,963.0652442451559,0.0004814112160800472,0.0005261993455453841,1046.7698674464684,0.0005232368067852264,0.00048383933693066204,963.0652442451559,0.0004814112160800472
1.12,0.00046904519082353007,933.4769520308919,0.0004666170699729152,0.0005116417657446296,1017.6547078449595,0.0005086792269844719,0.00046904519082353,933.4769520308918,0.00046661706997291517
1.1300000000000001,0.0004598183529455995,915.0232762750308,0.0004573902320949846,0.000502717967826433,999.8071120085664,0.0004997554290662753,0.0004598183529455995,915.0232762750308,0.0004573902320949846
1.1400000000000001,0.00046110712684020255,917.580218357685,0.0004586681608808762,0.0005045204508485659,1003.3776196186865,0.0005015397760704368,0.0004611071268402026,917.5802183576851,0.0004586681608808762
1.1500000000000001,0.00047257071470761596,940.3149138612936,0.0004700304433634379,0.0005167053956969229,1027.5032333788724,0.0005135961546364106,0.000472570714707616,940.3149138612937,0.00047003044336343795
1.16,0.0004875871922282834,970.0795222294113,0.00048490568579293844,0.0005324600547952695,1058.6772619118854,0.0005291743454907149,0.0004875871922282834,970.0795222294113,0.00048490568579293844
1.17,0.0004972971303596084,989.3189310336236,0.0004945206410514014,0.0005426585811029494,1078.8489227037696,0.0005392542445228815,0.0004972971303596084,989.3189310336236,0.0004945206410514014
1.18,0.0005028454342663082,1000.3101153974769,0.0005000134589320243,0.0005484833220579266,1090.3669127751407,0.0005450097792470252,0.0005028454342663082,1000.3101153974769,0.0005000134589320243
