time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.01,0.0966111553502947,0.000900413393174556,6.26246080339974e-05,2.79176452729609e-05,9.52382067983495e-06,0.000540175526822101,3228.05907432222
1.02,-0.00557817817678685,0.000906788212152268,6.29282501310544e-05,2.94723028516008e-05,1.16532707270395e-05,0.000532194446797367,3180.17259417382
1.03,-0.203574683505917,0.000915864603913141,6.33554551353224e-05,3.09928601475435e-05,1.38707378550838e-05,0.000526276012616522,3144.66198908875
1.04,-0.1410444477859,0.000938402711239445,6.45820815083607e-05,3.2488868903741e-05,1.61232040430839e-05,0.000530903755200777,3172.13163837179
1.05,0.0458508619480544,0.000971412189120426,6.64531698814778e-05,3.39878914066427e-05,1.83508271784369e-05,0.00054376139064082,3248.41525517586
1.06,0.16818502839886,0.00100080601957529,6.81393098705772e-05,3.55164525386332e-05,2.04968010073249e-05,0.000553856791275763,3308.28506680433
1.07,0.163717874665942,0.00101582122520068,6.90053629233728e-05,3.70793384370022e-05,2.25172587339245e-05,0.000552854168861205,3302.26933231698
1.08,0.0434617193472369,0.00101656832502588,6.90586425336354e-05,3.86540553663068e-05,2.4384280468807e-05,0.000541019202898384,3231.25953654006
1.09,-0.0706181664255343,0.00101196786758002,6.88305578624625e-05,4.02014147345528e-05,2.60817937202383e-05,0.000525558308837909,3138.49417217721
1.1,0.0108212268560345,0.00100863460215108,6.87111282627875e-05,4.16794095664112e-05,2.75998049497847e-05,0.000511869368146742,3056.36052803021
1.11,0.0734756176673132,0.00100372881011361,6.8512511223885e-05,4.30463211130923e-05,2.89326883398563e-05,0.00049795933567701,2972.90033321181
1.12,-0.0937564311572457,0.000996222204844907,6.81555975840912e-05,4.42592024534728e-05,3.00791332535495e-05,0.000483244044996899,2884.60858913115
1.13,-0.142085436660117,0.000994078534473426,6.81128003295137e-05,4.52824605348715e-05,3.10381596868673e-05,0.000474118220488917,2829.85364208326
